replicas,virtual users,node response,failed rate,http reqs,http req duration (95%)
9,25,3.288,0.0,7500,33.020941
9,33,3.239690,0.00,9887,34.87
9,50,4.437,0.0,15000,37.775932
9,75,5.053,0.0,22500,36.691985
9,83,8.160416666657213,0.00,24901,42.49
9,100,9.887500000004351,0.03,30001,42.24
9,125,7.101,0.0,37500,42.002318
9,250,16.82916666666793,0.0,75001,46.18
9,375,17.36,0.0,112500,64.859496
9,500,31.21249999999995,0.0,150001,120.98
9,625,29.521,0.0,187500,232.875846
9,750,47.98958333333,0.0,224504,480.4
