replicas,virtual users,node response,failed rate,http reqs,http req duration (95%)
2,25.0,3.0962682852892986,0.0,7500,33.519326
2,50.0,4.353040162342807,0.0,15000,36.621162
2,75.0,5.577728351782984,0.0,22500,38.2634945
2,100.0,6.899207465411935,0.0,30000,38.0255285
2,125.0,7.9137026776770165,0.0,37500,40.899159999999995
2,250.0,13.362807681627658,0.0,75000,51.8535015
2,375.0,18.97814460459746,0.0,112500,68.137272
2,500.0,25.500624999999907,0.0,150000,124.785
2,625.0,31.654820048491004,0.0,187500,267.345668
2,750.0,37.66905117712662,0.0,224726,413.8057005
4,25.0,3.184141785289299,0.0,7500,33.020941
4,50.0,4.364897662342807,0.0,15000,37.557966
4,75.0,5.442664351782984,0.0,22500,37.2339585
4,100.0,8.546082465413209,0.06,30000,40.9705285
4,125.0,7.726197177677017,0.0,37500,42.596159
4,250.0,15.19509934829243,0.0,75000,52.0885015
4,375.0,19.00055410459746,0.0,112500,69.6529605
4,500.0,28.69541666666715,0.0,150000,126.53999999999999
4,625.0,30.686473048491003,0.0,187500,265.332992
4,750.0,42.69092617712576,0.0,224626,496.9807005
6,25.0,3.275664,0.0,7500,33.020941
6,50.0,4.437193,0.0,15000,37.775932
6,75.0,5.052768,0.0,22500,36.691985
6,100.0,10.254687666666431,0.06,29999,42.9525
6,125.0,7.1006350000000005,0.0,37500,42.002318
6,250.0,16.55885400000029,0.0,75001,46.135
6,375.0,17.360324,0.0,112500,66.21949599999999
6,500.0,30.254687333333578,0.0,150001,123.275
6,625.0,29.521032499999997,0.0,187500,265.915846
6,750.0,46.91614566666776,0.0,224520,576.1975
8,25.0,3.275888,0.0,7500,33.020941
8,50.0,4.4370645,0.0,15000,37.775932
8,75.0,5.052922499999999,0.0,22500,36.691985
8,100.0,10.009896000002175,0.02,30000,42.477500000000006
8,125.0,7.1008785,0.0,37500,42.002318
8,250.0,16.739062333333965,0.0,75000,46.165
8,375.0,17.360108,0.0,112500,66.21949599999999
8,500.0,30.893228999999977,0.0,150000,121.745
8,625.0,29.521011,0.0,187500,305.915846
8,750.0,47.631770666665005,0.0,225000,662.3325
