Q,Type,Chart,Acc,Time ,Changes,Acc p-value,Acc Significance,Time p-value,Time Significance,Changes p-value,Changes Significance,
1,Individual,Area,0.8,6.79,0,0.1679,Not Significant,0.1588,Not Significant,0.1934,Not Significant,
1,Individual,Line,1,8.77,0,0.1679,Not Significant,0.1588,Not Significant,0.1934,Not Significant,
2,Individual,Area,0.6,11.52,0.1,0.0368,Significant,0.2057,Not Significant,0.3221,Not Significant,
2,Individual,Line,1,8.26,0,0.0368,Significant,0.2057,Not Significant,0.3221,Not Significant,
3,Change,Area,0.9,18.75,0.1,0.1934,Not Significant,0.3111,Not Significant,0.1773,Not Significant,
3,Change,Line,0.6,22.72,0,0.1934,Not Significant,0.3111,Not Significant,0.1773,Not Significant,
4,Individual,Area,0.7,10.62,0.2,0.1679,Not Significant,0.2696,Not Significant,0.3434,Not Significant,
4,Individual,Line,0.9,7.73,0.1,0.1679,Not Significant,0.2696,Not Significant,0.3434,Not Significant,
5,Cumulative,Area,0.8,8.57,0.2,1,Not Significant,0.0311,Significant,NaN,Not Applicable,
5,Cumulative,Line,0.8,19.81,0.1,1,Not Significant,0.0311,Significant,NaN,Not Applicable,
6,Cumulative,Area,0.9,11.22,0.1,0.0013,Significant,0.0039,Significant,0.1039,Not Significant,
6,Cumulative,Line,0.2,26.15,0.5,0.0013,Significant,0.0039,Significant,0.1039,Not Significant,
7,Individual,Area,0.6,12.29,0.1,0.0368,Significant,0.0881,Moderately Sig.,0.6783,Not Significant,
7,Individual,Line,1,5.78,0.2,0.0368,Significant,0.0881,Moderately Sig.,0.6783,Not Significant,
8,Individual,Area,0.6,13.12,0.1,0.1934,Not Significant,0.0035,Significant,NaN,Not Applicable,
8,Individual,Line,0.9,5.63,0.1,0.1934,Not Significant,0.0035,Significant,NaN,Not Applicable,
9,Individual ,Area,0,17.02,0.6,0.0000085,Significant,0.084,Moderately Sig.,0.1039,Not Significant,
9,Individual ,Line,0.9,11.86,0.2,0.0000085,Significant,0.084,Moderately Sig.,0.1039,Not Significant,
10,Individual ,Area,0.8,9.46,0.1,0.1679,Not Significant,0.3041,Not Significant,0.3434,Not Significant,
10,Individual ,Line,1,12.69,0.2,0.1679,Not Significant,0.3041,Not Significant,0.3434,Not Significant,
