Question,Chart,Final Answer,Time Taken,Answer Changed
1,line,Correct,7.531322002410889,0
1,area,Incorrect,4.191598176956177,0
2,line,Correct,2.689627170562744,0
2,area,Incorrect,7.2253642082214355,3
3,line,Correct,9.560559272766113,0
3,area,Correct,7.298590183258057,0
4,line,Correct,4.236101865768433,0
4,area,Incorrect,2.974982976913452,0
5,line,Correct,5.966235160827637,0
5,area,Correct,2.700002908706665,0
6,line,Correct,18.44756817817688,2
6,area,Correct,13.527220964431763,0
7,line,Correct,3.366472005844116,0
7,area,Correct,2.5170199871063232,0
8,line,Correct,2.9751150608062744,0
8,area,Incorrect,2.449728012084961,0
9,line,Correct,2.535543918609619,0
9,area,Incorrect,4.350359201431274,0
10,line,Correct,3.139981985092163,0
10,area,Incorrect,2.4338278770446777,0
Question,Chart,Final Answer,Time Taken,Answer Changed
1,line,Correct,6.940071105957031,0
1,area,Incorrect,5.500369310379028,0
2,line,Correct,2.2833809852600098,0
2,area,Incorrect,13.00017786026001,3
3,line,Incorrect,8.325192928314209,0
3,area,Correct,9.203878164291382,0
4,line,Correct,4.027904987335205,0
4,area,Correct,16.421017169952393,0
5,line,Correct,9.824525117874146,0
5,area,Correct,3.47533917427063,0
6,line,Incorrect,14.763087034225464,1
6,area,Correct,2.833306312561035,0
7,line,Correct,3.2322611808776855,0
7,area,Correct,6.087611198425293,1
8,line,Correct,5.258762836456299,0
8,area,Correct,9.999830961227417,0
9,line,Correct,7.815386772155762,0
9,area,Incorrect,7.641725778579712,0
10,line,Correct,3.7235701084136963,0
10,area,Correct,3.608116865158081,0
Question,Chart,Final Answer,Time Taken,Answer Changed
1,line,Correct,34.14427399635315,1
1,area,Correct,22.64186978340149,0
2,line,Correct,15.225851058959961,0
2,area,Correct,9.216399908065796,0
3,line,Correct,26.804014205932617,1
3,area,Correct,26.541454792022705,0
4,line,Correct,16.883342742919922,0
4,area,Correct,6.841027736663818,0
5,line,Correct,14.124949932098389,0
5,area,Correct,9.303961753845215,0
6,line,Incorrect,22.949783086776733,0
6,area,Correct,5.858898162841797,0
7,line,Correct,17.565656900405884,2
7,area,Incorrect,10.457856178283691,0
8,line,Correct,5.773944139480591,0
8,area,Correct,8.516585111618042,0
9,line,Correct,13.345247030258179,0
9,area,Incorrect,13.530479907989502,1
10,line,Correct,3.7632319927215576,0
10,area,Correct,4.536813020706177,0
