Year,Country of origin (ISO),Country of asylum (ISO),Refugees under UNHCR's mandate,Asylum-seekers,Others of concern
2019,AFG,AFG,0,0,447093
2019,AFG,EGY,28,36,0
2019,AFG,ARG,12,0,0
2019,AFG,ARM,5,0,0
2019,AFG,AUS,11585,1710,0
2019,AFG,AUT,37276,10326,0
2019,AFG,AZE,627,94,0
2019,AFG,BEL,5070,1035,0
2019,AFG,BLR,213,13,0
2019,AFG,BRA,132,185,0
2019,AFG,BIH,0,134,902
2019,AFG,BGR,243,300,0
2019,AFG,CAN,2447,620,0
2019,AFG,CHN,21,21,0
2019,AFG,CHL,13,13,0
2019,AFG,COL,9,0,0
2019,AFG,CUB,36,0,0
2019,AFG,CYP,14,5,0
2019,AFG,CZE,45,14,0
2019,AFG,DNK,2620,79,0
2019,AFG,DOM,0,9,0
2019,AFG,ECU,150,5,0
2019,AFG,EST,9,0,0
2019,AFG,FJI,5,5,0
2019,AFG,FIN,3238,1220,0
2019,AFG,FRA,24293,11055,0
2019,AFG,GBR,9513,2890,0
2019,AFG,GEO,11,18,0
2019,AFG,DEU,140366,47343,0
2019,AFG,GRC,17685,27608,0
2019,AFG,HKG,5,0,0
2019,AFG,HRV,53,108,13
2019,AFG,HUN,1487,92,0
2019,AFG,ISL,86,19,0
2019,AFG,IND,7470,8219,0
2019,AFG,IDN,5866,1826,0
2019,AFG,IRL,366,127,0
2019,AFG,IRN,951142,0,0
2019,AFG,IRQ,11,56,0
2019,AFG,ITA,17849,840,0
2019,AFG,JOR,8,11,0
2019,AFG,JPN,68,0,0
2019,AFG,KAZ,491,181,0
2019,AFG,KEN,10,9,0
2019,AFG,KGZ,227,104,0
2019,AFG,KOR,41,49,0
2019,AFG,KWT,0,17,0
2019,AFG,LBY,0,11,0
2019,AFG,LBN,18,6,0
2019,AFG,LIE,5,0,0
2019,AFG,LKA,160,45,0
2019,AFG,LTU,236,5,0
2019,AFG,LUX,97,170,0
2019,AFG,LVA,66,0,0
2019,AFG,MDG,10,10,0
2019,AFG,MKD,5,15,0
2019,AFG,MDA,24,0,0
2019,AFG,MYS,1352,1126,0
2019,AFG,MNE,0,50,0
2019,AFG,MAR,5,6,0
2019,AFG,MLT,0,5,0
2019,AFG,NPL,51,0,0
2019,AFG,NLD,5815,543,0
2019,AFG,NGA,5,0,0
2019,AFG,NOR,5108,81,0
2019,AFG,NRU,25,5,0
2019,AFG,NZL,46,31,0
2019,AFG,PAK,1419084,8406,0
2019,AFG,PAN,5,6,0
2019,AFG,PHL,14,6,0
2019,AFG,PNG,43,5,0
2019,AFG,POL,121,16,0
2019,AFG,PRT,20,5,0
2019,AFG,ROU,148,67,0
2019,AFG,ZAF,0,24,0
2019,AFG,RUS,795,268,0
2019,AFG,SEN,0,5,0
2019,AFG,ESP,395,270,0
2019,AFG,SRB,19,10,2662
2019,AFG,SDN,0,0,5
2019,AFG,SVK,276,0,0
2019,AFG,SVN,51,23,0
2019,AFG,SWE,30546,3015,0
2019,AFG,CHE,13455,1152,0
2019,AFG,SYR,1110,32,0
2019,AFG,THA,134,18,0
2019,AFG,TJK,3783,1413,0
2019,AFG,TKM,14,0,0
2019,AFG,TUR,1192,116403,0
2019,AFG,ARE,5,25,0
2019,AFG,UKR,820,641,0
2019,AFG,URY,0,5,0
2019,AFG,USA,1629,727,0
2019,AFG,UZB,13,0,0
2019,AFG,VEN,10,0,0
2019,ALB,ARG,18,0,0
2019,ALB,AUS,46,89,0
2019,ALB,AUT,72,45,0
2019,ALB,BEL,712,208,0
2019,ALB,BRA,0,6,0
2019,ALB,CAN,783,289,0
2019,ALB,CYP,0,5,0
2019,ALB,DNK,0,5,0
2019,ALB,ECU,6,0,0
2019,ALB,EST,0,5,0
2019,ALB,FIN,5,20,0
2019,ALB,FRA,5829,3096,0
2019,ALB,GBR,3182,6787,0
2019,ALB,DEU,1278,2375,0
2019,ALB,GRC,165,2092,0
2019,ALB,ISL,5,16,0
2019,ALB,IRL,145,783,0
2019,ALB,ITA,809,589,0
2019,ALB,LUX,70,15,0
2019,ALB,MEX,8,0,0
2019,ALB,NLD,5,12,0
2019,ALB,NOR,20,26,0
2019,ALB,PRT,0,5,0
2019,ALB,ESP,0,185,0
2019,ALB,SWE,327,376,0
2019,ALB,CHE,106,76,0
2019,ALB,USA,1436,1902,0
2019,DZA,ALB,0,0,11
2019,DZA,ARG,30,22,0
2019,DZA,AUS,7,29,0
2019,DZA,AUT,37,117,0
2019,DZA,BEL,75,78,0
2019,DZA,BRA,7,27,0
2019,DZA,BIH,0,5,77
2019,DZA,BGR,0,21,0
2019,DZA,CAN,449,909,0
2019,DZA,CYP,8,8,0
2019,DZA,CZE,0,5,0
2019,DZA,DNK,5,9,0
2019,DZA,FIN,14,13,0
2019,DZA,FRA,1997,1211,0
2019,DZA,GBR,344,353,0
2019,DZA,DEU,613,1087,0
2019,DZA,GRC,98,478,0
2019,DZA,HRV,0,23,5
2019,DZA,HUN,15,0,0
2019,DZA,IRL,54,202,0
2019,DZA,ITA,228,130,0
2019,DZA,JOR,0,7,0
2019,DZA,KOR,6,239,0
2019,DZA,LBN,0,6,9
2019,DZA,LUX,0,40,0
2019,DZA,MKD,0,7,0
2019,DZA,MEX,5,0,0
2019,DZA,MYS,0,7,0
2019,DZA,MNE,0,48,0
2019,DZA,MAR,9,5,0
2019,DZA,MLT,0,15,0
2019,DZA,NLD,15,293,0
2019,DZA,NOR,6,0,0
2019,DZA,NZL,5,0,0
2019,DZA,PAK,22,0,0
2019,DZA,POL,5,10,0
2019,DZA,PRT,0,5,0
2019,DZA,ROU,0,55,0
2019,DZA,ZAF,5,230,0
2019,DZA,ESP,61,1345,0
2019,DZA,SRB,0,5,0
2019,DZA,SVN,0,41,0
2019,DZA,SWE,60,70,0
2019,DZA,CHE,162,147,0
2019,DZA,SYR,5,0,0
2019,DZA,TUN,9,13,0
2019,DZA,ARE,0,0,5
2019,DZA,UKR,0,12,0
2019,DZA,USA,158,376,0
2019,AGO,AGO,0,0,5
2019,AGO,ARG,14,14,0
2019,AGO,AUT,65,10,0
2019,AGO,BDI,0,5,0
2019,AGO,BEL,92,82,0
2019,AGO,BWA,0,0,6
2019,AGO,BRA,1139,5016,0
2019,AGO,CAN,226,1223,0
2019,AGO,CAF,13,0,0
2019,AGO,CHL,0,5,0
2019,AGO,CMR,5,0,0
2019,AGO,COG,14,46,0
2019,AGO,COD,490,16,0
2019,AGO,CRI,0,51,0
2019,AGO,ECU,5,30,0
2019,AGO,FIN,110,26,0
2019,AGO,FRA,3678,1165,0
2019,AGO,GBR,180,143,0
2019,AGO,DEU,862,476,0
2019,AGO,GRC,6,46,0
2019,AGO,HUN,5,0,0
2019,AGO,IDN,6,0,0
2019,AGO,IRL,50,32,0
2019,AGO,ITA,34,9,0
2019,AGO,KOR,5,50,0
2019,AGO,LUX,13,5,0
2019,AGO,MEX,5,179,0
2019,AGO,MOZ,5,0,0
2019,AGO,NLD,41,30,0
2019,AGO,NOR,14,7,0
2019,AGO,PER,0,7,0
2019,AGO,POL,0,5,0
2019,AGO,PRT,0,216,0
2019,AGO,ROU,5,0,0
2019,AGO,ZAF,23,12,0
2019,AGO,RWA,8,0,0
2019,AGO,ESP,6,70,0
2019,AGO,SVK,24,0,0
2019,AGO,SWZ,13,0,0
2019,AGO,SWE,23,30,0
2019,AGO,CHE,713,77,0
2019,AGO,UKR,24,0,0
2019,AGO,URY,14,5,0
2019,AGO,USA,246,1684,0
2019,AGO,ZMB,0,0,18232
2019,ATG,CAN,104,44,0
2019,ATG,GBR,5,9,0
2019,ATG,USA,8,12,0
2019,EGY,ALB,5,0,0
2019,EGY,ARG,5,19,0
2019,EGY,ARM,5,0,0
2019,EGY,AUS,1531,346,0
2019,EGY,AUT,220,151,0
2019,EGY,AZE,0,5,0
2019,EGY,BHR,0,5,0
2019,EGY,BEL,115,27,0
2019,EGY,BLR,5,0,0
2019,EGY,BRA,48,446,0
2019,EGY,BIH,0,5,289
2019,EGY,BGR,15,6,0
2019,EGY,CAN,2520,1172,0
2019,EGY,COG,0,0,5
2019,EGY,CYP,115,1007,0
2019,EGY,CZE,8,5,0
2019,EGY,DNK,16,10,0
2019,EGY,ECU,0,16,0
2019,EGY,EST,5,0,0
2019,EGY,ETH,5,0,0
2019,EGY,FIN,19,28,0
2019,EGY,FRA,1091,417,0
2019,EGY,GBR,860,510,0
2019,EGY,GEO,60,114,0
2019,EGY,DEU,2310,2187,0
2019,EGY,GHA,0,16,0
2019,EGY,GRC,343,1502,0
2019,EGY,HKG,5,0,0
2019,EGY,HRV,7,0,5
2019,EGY,HUN,11,0,0
2019,EGY,ISL,6,0,0
2019,EGY,IND,0,8,0
2019,EGY,IDN,18,12,0
2019,EGY,IRL,30,68,0
2019,EGY,IRQ,0,22,0
2019,EGY,ISR,0,12,0
2019,EGY,ITA,2379,638,0
2019,EGY,JOR,100,587,13
2019,EGY,KEN,0,21,0
2019,EGY,KOR,34,787,0
2019,EGY,KWT,5,19,0
2019,EGY,LBN,88,293,27
2019,EGY,LUX,5,5,0
2019,EGY,LVA,5,5,0
2019,EGY,MEX,5,0,0
2019,EGY,MYS,15,79,0
2019,EGY,MNE,0,5,0
2019,EGY,MAR,0,5,0
2019,EGY,MLT,74,60,0
2019,EGY,NLD,205,189,0
2019,EGY,NOR,59,10,0
2019,EGY,NZL,35,5,0
2019,EGY,POL,71,16,0
2019,EGY,PRT,0,9,0
2019,EGY,QAT,13,8,0
2019,EGY,ROU,19,25,0
2019,EGY,ZAF,7,265,0
2019,EGY,RUS,0,5,0
2019,EGY,SOM,0,26,0
2019,EGY,ESP,39,125,0
2019,EGY,SVK,5,0,0
2019,EGY,SWE,391,506,0
2019,EGY,CHE,115,24,0
2019,EGY,SYR,33,10,0
2019,EGY,THA,16,10,0
2019,EGY,TTO,0,5,0
2019,EGY,TUN,0,5,0
2019,EGY,ARE,8,6,10
2019,EGY,UGA,0,8,0
2019,EGY,UKR,5,15,0
2019,EGY,URY,0,5,0
2019,EGY,USA,14291,4721,0
2019,EGY,YEM,16,9,0
2019,ARG,AUS,0,24,0
2019,ARG,BOL,13,0,0
2019,ARG,BRA,6,144,0
2019,ARG,CAN,0,47,0
2019,ARG,CRI,0,17,0
2019,ARG,ECU,0,5,0
2019,ARG,FRA,5,0,0
2019,ARG,GBR,0,10,0
2019,ARG,DEU,15,24,0
2019,ARG,ISR,0,5,0
2019,ARG,ITA,9,16,0
2019,ARG,KOR,0,11,0
2019,ARG,MEX,5,29,0
2019,ARG,NLD,5,5,0
2019,ARG,PRY,0,6,0
2019,ARG,PER,0,12,0
2019,ARG,ESP,0,300,0
2019,ARG,SDN,0,0,5
2019,ARG,SWE,0,8,0
2019,ARG,URY,0,5,0
2019,ARG,USA,41,264,0
2019,ARM,ARG,77,175,0
2019,ARM,AUT,442,358,0
2019,ARM,BEL,156,80,0
